DF0000001 avg_kimura=34.34 [mir]
DF0000073 avg_kimura=9.02 [bc200]
DF0000074 avg_kimura=26.60 [blackjack]
DF0000075 avg_kimura=12.96 [bsr]
DF0000076 avg_kimura=29.79 [bsra]
DF0000077 avg_kimura=29.72 [bsrb]
DF0000078 avg_kimura=38.37 [bsrd]
DF0000079 avg_kimura=28.41 [bsrf]
DF0000080 avg_kimura=31.25 [chap1_mam]
DF0000081 avg_kimura=24.63 [charlie10]
DF0000082 avg_kimura=24.22 [charlie10a]
DF0000083 avg_kimura=23.72 [charlie10b]
DF0000084 avg_kimura=31.40 [charlie11]
DF0000085 avg_kimura=7.41 [charlie12]
DF0000086 avg_kimura=34.49 [charlie13a]
DF0000087 avg_kimura=32.51 [charlie13b]
DF0000088 avg_kimura=29.48 [charlie14a]
DF0000089 avg_kimura=32.09 [charlie15a]
DF0000090 avg_kimura=30.41 [charlie15b]
DF0000091 avg_kimura=31.09 [charlie16a]
DF0000092 avg_kimura=27.19 [charlie17]
DF0000093 avg_kimura=29.52 [charlie17a]
DF0000094 avg_kimura=28.07 [charlie17b]
DF0000095 avg_kimura=29.06 [charlie18a]
DF0000096 avg_kimura=32.53 [charlie19a]
DF0000097 avg_kimura=32.36 [charlie20a]
DF0000098 avg_kimura=29.24 [charlie21a]
DF0000099 avg_kimura=31.10 [charlie22a]
DF0000100 avg_kimura=30.98 [charlie23a]
DF0000101 avg_kimura=32.03 [charlie24]
DF0000102 avg_kimura=31.69 [charlie25]
DF0000103 avg_kimura=28.76 [charlie26a]
DF0000104 avg_kimura=30.20 [charlie29a]
DF0000105 avg_kimura=24.64 [charlie6]
DF0000106 avg_kimura=29.13 [charlie7a]
DF0000107 avg_kimura=29.92 [charlie8]
DF0000108 avg_kimura=25.04 [charlie9]
DF0000109 avg_kimura=19.77 [cheshire]
DF0000110 avg_kimura=37.13 [cr1_mam]
DF0000111 avg_kimura=16.02 [d20s16]
DF0000113 avg_kimura=23.51 [dna1_mam]
DF0000114 avg_kimura=29.86 [erv24b_prim]
DF0000115 avg_kimura=26.19 [erv24_prim]
DF0000116 avg_kimura=33.40 [erv3-16a3_i]
DF0000117 avg_kimura=29.76 [erv3-16a3_ltr]
DF0000118 avg_kimura=23.36 [ervl]
DF0000119 avg_kimura=25.51 [ervl47]
DF0000120 avg_kimura=37.03 [ervl-e]
DF0000121 avg_kimura=25.59 [eulor1]
DF0000122 avg_kimura=27.46 [eulor10]
DF0000123 avg_kimura=33.66 [eulor11]
DF0000124 avg_kimura=27.14 [eulor12]
DF0000125 avg_kimura=28.14 [eulor2a]
DF0000126 avg_kimura=29.24 [eulor2b]
DF0000127 avg_kimura=27.44 [eulor2c]
DF0000128 avg_kimura=28.11 [eulor3]
DF0000129 avg_kimura=26.25 [eulor4]
DF0000130 avg_kimura=30.10 [eulor5a]
DF0000131 avg_kimura=22.95 [eulor5b]
DF0000132 avg_kimura=25.70 [eulor6a]
DF0000133 avg_kimura=29.80 [eulor6b]
DF0000134 avg_kimura=23.65 [eulor6c]
DF0000135 avg_kimura=31.42 [eulor6d]
DF0000136 avg_kimura=27.17 [eulor6e]
DF0000137 avg_kimura=29.45 [eulor7]
DF0000138 avg_kimura=31.29 [eulor8]
DF0000139 avg_kimura=28.36 [eulor9a]
DF0000140 avg_kimura=26.47 [eulor9b]
DF0000141 avg_kimura=26.50 [eulor9c]
DF0000142 avg_kimura=16.89 [fam]
DF0000143 avg_kimura=13.94 [flam_a]
DF0000144 avg_kimura=11.38 [flam_c]
DF0000145 avg_kimura=25.56 [fordprefect]
DF0000146 avg_kimura=26.17 [fordprefect_a]
DF0000147 avg_kimura=13.97 [fram]
DF0000148 avg_kimura=15.63 [gsat]
DF0000150 avg_kimura=19.09 [gsatii]
DF0000152 avg_kimura=17.61 [gsatx]
DF0000154 avg_kimura=33.30 [hal1]
DF0000155 avg_kimura=33.06 [hal1b]
DF0000156 avg_kimura=27.09 [hal1m8]
DF0000157 avg_kimura=34.01 [hal1me]
DF0000158 avg_kimura=29.94 [helitron1nb_mam]
DF0000159 avg_kimura=34.81 [helitron2na_mam]
DF0000160 avg_kimura=32.76 [helitron3na_mam]
DF0000161 avg_kimura=11.44 [herv15]
DF0000162 avg_kimura=34.60 [herv16]
DF0000163 avg_kimura=15.76 [herv1_i]
DF0000164 avg_kimura=5.95 [herv1_ltra]
DF0000165 avg_kimura=6.92 [herv1_ltrb]
DF0000166 avg_kimura=5.14 [herv1_ltrc]
DF0000167 avg_kimura=8.34 [herv1_ltrd]
DF0000168 avg_kimura=16.79 [herv1_ltre]
DF0000169 avg_kimura=18.96 [herv3]
DF0000170 avg_kimura=11.63 [herv30]
DF0000171 avg_kimura=17.32 [herv35i]
DF0000172 avg_kimura=17.72 [herv4_i]
DF0000173 avg_kimura=6.65 [herv9]
DF0000174 avg_kimura=7.85 [herve]
DF0000175 avg_kimura=10.01 [herve_a]
DF0000176 avg_kimura=2.33 [herv-fc1]
DF0000177 avg_kimura=6.89 [herv-fc1_ltr1]
DF0000178 avg_kimura=2.72 [herv-fc1_ltr3]
DF0000179 avg_kimura=15.70 [herv-fc2]
DF0000180 avg_kimura=5.60 [herv-fc2_ltr]
DF0000181 avg_kimura=11.20 [hervfh19]
DF0000182 avg_kimura=22.24 [hervfh21]
DF0000183 avg_kimura=6.80 [hervh]
DF0000184 avg_kimura=9.95 [hervh48]
DF0000185 avg_kimura=17.11 [hervi]
DF0000186 avg_kimura=15.05 [hervip10f]
DF0000187 avg_kimura=11.67 [hervip10fh]
DF0000188 avg_kimura=7.85 [hervk]
DF0000189 avg_kimura=5.98 [hervk11]
DF0000190 avg_kimura=4.69 [hervk11d]
DF0000191 avg_kimura=9.37 [hervk13]
DF0000192 avg_kimura=7.08 [hervk14]
DF0000193 avg_kimura=16.14 [hervk14c]
DF0000194 avg_kimura=10.22 [hervk22]
DF0000195 avg_kimura=12.01 [hervk3]
DF0000196 avg_kimura=5.49 [hervk9]
DF0000197 avg_kimura=12.43 [hervkc4]
DF0000198 avg_kimura=9.00 [hervl]
DF0000199 avg_kimura=12.90 [hervl18]
DF0000200 avg_kimura=15.42 [hervl32]
DF0000201 avg_kimura=27.44 [hervl40]
DF0000202 avg_kimura=9.11 [hervl66]
DF0000203 avg_kimura=22.22 [hervl74]
DF0000204 avg_kimura=12.68 [hervp71a]
DF0000205 avg_kimura=12.44 [hervs71]
DF0000206 avg_kimura=16.44 [hsat4]
DF0000207 avg_kimura=21.57 [hsat5]
DF0000209 avg_kimura=15.28 [hsat6]
DF0000210 avg_kimura=6.72 [hsati]
DF0000211 avg_kimura=11.98 [hsatii]
DF0000212 avg_kimura=7.37 [hsmar1]
DF0000213 avg_kimura=13.00 [hsmar2]
DF0000214 avg_kimura=13.06 [huers-p1]
DF0000215 avg_kimura=12.90 [huers-p2]
DF0000216 avg_kimura=16.32 [huers-p3]
DF0000217 avg_kimura=12.74 [huers-p3b]
DF0000218 avg_kimura=26.59 [kanga1]
DF0000219 avg_kimura=29.77 [kanga11a]
DF0000220 avg_kimura=27.10 [kanga1a]
DF0000221 avg_kimura=26.38 [kanga1b]
DF0000222 avg_kimura=25.77 [kanga1c]
DF0000223 avg_kimura=25.77 [kanga1d]
DF0000224 avg_kimura=29.61 [kanga2_a]
DF0000225 avg_kimura=1.41 [l1hs_3end]
DF0000226 avg_kimura=1.97 [l1hs_5end]
DF0000227 avg_kimura=17.66 [l1m1_5end]
DF0000228 avg_kimura=13.81 [l1m1_orf2]
DF0000229 avg_kimura=22.81 [l1m2_5end]
DF0000230 avg_kimura=18.45 [l1m2a1_5end]
DF0000231 avg_kimura=7.85 [pabl_a]
DF0000232 avg_kimura=25.26 [l1m2a_5end]
DF0000233 avg_kimura=26.94 [l1m2b_5end]
DF0000234 avg_kimura=22.68 [l1m2c_5end]
DF0000235 avg_kimura=12.22 [pabl_a-int]
DF0000236 avg_kimura=18.39 [l1m2_orf2]
DF0000237 avg_kimura=30.47 [l1m3a_5end]
DF0000238 avg_kimura=27.11 [l1m3b_5end]
DF0000239 avg_kimura=26.22 [l1m3c_5end]
DF0000240 avg_kimura=28.03 [l1m3d_5end]
DF0000241 avg_kimura=26.01 [l1m3de_5end]
DF0000242 avg_kimura=26.63 [l1m3e_5end]
DF0000243 avg_kimura=18.53 [l1m3f_5end]
DF0000244 avg_kimura=20.94 [l1m3_orf2]
DF0000245 avg_kimura=25.56 [l1m4_5end]
DF0000246 avg_kimura=29.66 [l1m4a1_5end]
DF0000247 avg_kimura=26.83 [l1m4a2_5end]
DF0000248 avg_kimura=25.33 [l1m4b_5end]
DF0000249 avg_kimura=24.09 [l1m4c_5end]
DF0000250 avg_kimura=23.17 [l1m4_orf2]
DF0000251 avg_kimura=37.07 [l1m6_5end]
DF0000252 avg_kimura=35.51 [l1m6b_5end]
DF0000253 avg_kimura=34.07 [l1m7_5end]
DF0000254 avg_kimura=30.83 [l1m8_5end]
DF0000255 avg_kimura=21.41 [l1ma10_3end]
DF0000256 avg_kimura=11.04 [l1ma1_3end]
DF0000257 avg_kimura=11.84 [l1ma2_3end]
DF0000258 avg_kimura=12.63 [l1ma3_3end]
DF0000259 avg_kimura=16.99 [l1ma4_3end]
DF0000260 avg_kimura=15.82 [l1ma4a_3end]
DF0000261 avg_kimura=16.28 [l1ma5_3end]
DF0000262 avg_kimura=14.27 [l1ma5a_3end]
DF0000263 avg_kimura=18.41 [l1ma6_3end]
DF0000264 avg_kimura=17.86 [l1ma7_3end]
DF0000265 avg_kimura=16.72 [l1ma8_3end]
DF0000266 avg_kimura=19.79 [l1ma9_3end]
DF0000267 avg_kimura=19.14 [l1mb1_3end]
DF0000268 avg_kimura=18.67 [l1mb2_3end]
DF0000269 avg_kimura=18.57 [l1mb3_3end]
DF0000270 avg_kimura=19.32 [l1mb4_3end]
DF0000271 avg_kimura=26.20 [l1mb4_5end]
DF0000272 avg_kimura=20.75 [l1mb5_3end]
DF0000273 avg_kimura=20.86 [l1mb7_3end]
DF0000274 avg_kimura=20.95 [l1mb8_3end]
DF0000275 avg_kimura=17.48 [l1mc1_3end]
DF0000276 avg_kimura=19.38 [l1mc2_3end]
DF0000277 avg_kimura=23.06 [l1mc3_3end]
DF0000278 avg_kimura=29.74 [l1mc4_5end]
DF0000279 avg_kimura=27.12 [l1mc4a_3end]
DF0000280 avg_kimura=28.17 [l1mc5_3end]
DF0000281 avg_kimura=30.82 [l1mc5a_3end]
DF0000282 avg_kimura=22.15 [l1mca_5end]
DF0000283 avg_kimura=26.34 [l1mcb_5end]
DF0000284 avg_kimura=32.05 [l1mcc_5end]
DF0000285 avg_kimura=21.64 [l1mc_orf2]
DF0000286 avg_kimura=21.30 [l1md1_3end]
DF0000287 avg_kimura=23.68 [l1md2_3end]
DF0000288 avg_kimura=29.68 [l1md2_5end]
DF0000289 avg_kimura=25.53 [l1md3_3end]
DF0000290 avg_kimura=24.73 [l1mda_5end]
DF0000291 avg_kimura=26.19 [l1mdb_5end]
DF0000292 avg_kimura=24.80 [l1md_orf2]
DF0000293 avg_kimura=26.42 [l1me1_3end]
DF0000294 avg_kimura=27.57 [l1me2_3end]
DF0000295 avg_kimura=26.78 [l1me2z_3end]
DF0000296 avg_kimura=28.64 [l1me3_3end]
DF0000297 avg_kimura=29.40 [l1me3a_3end]
DF0000298 avg_kimura=31.05 [l1me3b_3end]
DF0000299 avg_kimura=31.77 [l1me3c_3end]
DF0000300 avg_kimura=31.92 [l1me3e_3end]
DF0000301 avg_kimura=31.62 [l1me3f_3end]
DF0000302 avg_kimura=34.44 [l1me3g_3end]
DF0000303 avg_kimura=32.89 [l1me4a_3end]
DF0000304 avg_kimura=32.60 [l1me4b_3end]
DF0000305 avg_kimura=33.41 [l1me4c_3end]
DF0000306 avg_kimura=34.43 [l1me5_3end]
DF0000307 avg_kimura=31.04 [l1mea_5end]
DF0000308 avg_kimura=29.76 [l1mef_5end]
DF0000309 avg_kimura=34.46 [l1meg1_5end]
DF0000310 avg_kimura=34.10 [l1meg2_5end]
DF0000311 avg_kimura=32.12 [l1meg_5end]
DF0000312 avg_kimura=34.13 [l1meh_5end]
DF0000313 avg_kimura=33.01 [l1mei_5end]
DF0000314 avg_kimura=34.78 [l1mej_5end]
DF0000315 avg_kimura=4.81 [l1p1_5end]
DF0000316 avg_kimura=3.41 [l1p1_orf2]
DF0000317 avg_kimura=6.57 [l1p2_5end]
DF0000318 avg_kimura=7.36 [l1p3_5end]
DF0000319 avg_kimura=11.89 [l1p3b_5end]
DF0000320 avg_kimura=7.30 [l1p3_orf2]
DF0000321 avg_kimura=20.33 [l1p4a_5end]
DF0000322 avg_kimura=22.21 [l1p4b_5end]
DF0000323 avg_kimura=20.54 [l1p4c_5end]
DF0000324 avg_kimura=21.46 [l1p4d_5end]
DF0000325 avg_kimura=19.11 [l1p4e_5end]
DF0000326 avg_kimura=15.55 [l1p4_orf2]
DF0000327 avg_kimura=8.64 [l1pa10_3end]
DF0000328 avg_kimura=13.67 [l1pa10_5end]
DF0000329 avg_kimura=9.60 [l1pa11_3end]
DF0000330 avg_kimura=10.13 [l1pa12_3end]
DF0000331 avg_kimura=9.97 [l1pa13_3end]
DF0000332 avg_kimura=16.89 [l1pa13_5end]
DF0000333 avg_kimura=9.77 [l1pa14_3end]
DF0000334 avg_kimura=20.53 [l1pa15-16_5end]
DF0000335 avg_kimura=12.55 [l1pa15_3end]
DF0000336 avg_kimura=13.93 [l1pa16_3end]
DF0000337 avg_kimura=15.22 [l1pa17_3end]
DF0000338 avg_kimura=25.75 [l1pa17_5end]
DF0000339 avg_kimura=1.74 [l1pa2_3end]
DF0000340 avg_kimura=2.53 [l1pa3_3end]
DF0000341 avg_kimura=3.10 [l1pa4_3end]
DF0000342 avg_kimura=3.80 [l1pa5_3end]
DF0000343 avg_kimura=5.29 [l1pa6_3end]
DF0000344 avg_kimura=5.78 [l1pa7_3end]
DF0000345 avg_kimura=7.18 [l1pa8_3end]
DF0000346 avg_kimura=8.14 [l1pa8a_3end]
DF0000347 avg_kimura=9.27 [l1pb1_3end]
DF0000348 avg_kimura=10.79 [l1pb2_3end]
DF0000349 avg_kimura=12.98 [l1pb3_3end]
DF0000350 avg_kimura=16.76 [l1pb4_3end]
DF0000351 avg_kimura=11.53 [l1pba1_5end]
DF0000352 avg_kimura=15.32 [l1pba_5end]
DF0000353 avg_kimura=16.77 [l1pbb_5end]
DF0000354 avg_kimura=11.01 [l1pb_orf2]
DF0000355 avg_kimura=11.08 [l1prec2_3end]
DF0000356 avg_kimura=19.95 [l1prec2_5end]
DF0000357 avg_kimura=12.95 [l1prec2_orf2]
DF0000358 avg_kimura=40.66 [l2]
DF0000359 avg_kimura=35.69 [l2a_3end]
DF0000360 avg_kimura=40.05 [l2b_3end]
DF0000361 avg_kimura=40.82 [l2c_3end]
DF0000362 avg_kimura=41.73 [l3]
DF0000363 avg_kimura=41.55 [l3b_3end]
DF0000364 avg_kimura=37.64 [l4_a_mam]
DF0000365 avg_kimura=38.60 [l4_b_mam]
DF0000366 avg_kimura=38.55 [l4_c_mam]
DF0000367 avg_kimura=35.32 [l5]
DF0000368 avg_kimura=40.19 [lfsine_vert]
DF0000369 avg_kimura=21.55 [looper]
DF0000370 avg_kimura=13.44 [lor1a]
DF0000371 avg_kimura=13.07 [lor1b]
DF0000372 avg_kimura=14.49 [lor1-int]
DF0000373 avg_kimura=11.33 [lsau]
DF0000374 avg_kimura=15.07 [ltr06]
DF0000375 avg_kimura=9.73 [ltr1]
DF0000376 avg_kimura=37.02 [ltr101_mam]
DF0000377 avg_kimura=26.84 [ltr102_mam]
DF0000378 avg_kimura=35.66 [ltr103b_mam]
DF0000379 avg_kimura=34.71 [ltr103_mam]
DF0000380 avg_kimura=36.82 [ltr104_mam]
DF0000381 avg_kimura=34.37 [ltr105_mam]
DF0000382 avg_kimura=30.82 [ltr106_mam]
DF0000383 avg_kimura=31.59 [ltr107_mam]
DF0000384 avg_kimura=25.99 [ltr108a_mam]
DF0000385 avg_kimura=24.87 [ltr108b_mam]
DF0000386 avg_kimura=28.51 [ltr108c_mam]
DF0000387 avg_kimura=29.54 [ltr108d_mam]
DF0000388 avg_kimura=28.86 [ltr108e_mam]
DF0000389 avg_kimura=19.71 [ltr109a2]
DF0000390 avg_kimura=10.65 [ltr10a]
DF0000391 avg_kimura=16.74 [ltr10b]
DF0000392 avg_kimura=15.83 [ltr10b1]
DF0000393 avg_kimura=20.05 [ltr10b2]
DF0000394 avg_kimura=7.11 [ltr10c]
DF0000395 avg_kimura=8.71 [ltr10d]
DF0000396 avg_kimura=12.79 [ltr10e]
DF0000397 avg_kimura=5.99 [ltr10f]
DF0000398 avg_kimura=11.10 [ltr10g]
DF0000399 avg_kimura=6.20 [ltr12]
DF0000400 avg_kimura=6.58 [ltr12_v]
DF0000401 avg_kimura=5.74 [ltr12b]
DF0000402 avg_kimura=6.49 [ltr12c]
DF0000403 avg_kimura=7.66 [ltr12d]
DF0000404 avg_kimura=7.79 [ltr12e]
DF0000405 avg_kimura=8.24 [ltr12f]
DF0000406 avg_kimura=5.07 [ltr13]
DF0000407 avg_kimura=6.84 [ltr13_v]
DF0000408 avg_kimura=5.04 [ltr13a]
DF0000409 avg_kimura=7.50 [ltr14]
DF0000410 avg_kimura=6.53 [ltr14a]
DF0000411 avg_kimura=7.93 [ltr14b]
DF0000412 avg_kimura=6.41 [ltr14c]
DF0000413 avg_kimura=6.74 [ltr15]
DF0000414 avg_kimura=30.23 [ltr16]
DF0000415 avg_kimura=31.13 [ltr16a]
DF0000416 avg_kimura=30.33 [ltr16a1]
DF0000417 avg_kimura=30.12 [ltr16a2]
DF0000418 avg_kimura=27.34 [ltr16b]
DF0000419 avg_kimura=28.61 [ltr16b1]
DF0000420 avg_kimura=26.38 [ltr16b2]
DF0000421 avg_kimura=30.91 [ltr16c]
DF0000422 avg_kimura=31.63 [ltr16d]
DF0000423 avg_kimura=31.47 [ltr16d1]
DF0000424 avg_kimura=30.91 [ltr16d2]
DF0000425 avg_kimura=32.15 [ltr16e1]
DF0000426 avg_kimura=33.41 [ltr16e2]
DF0000427 avg_kimura=5.65 [ltr17]
DF0000428 avg_kimura=11.66 [ltr18a]
DF0000429 avg_kimura=12.39 [ltr18b]
DF0000430 avg_kimura=14.62 [ltr18c]
DF0000431 avg_kimura=9.90 [ltr19a]
DF0000432 avg_kimura=8.13 [ltr19b]
DF0000433 avg_kimura=19.60 [ltr19c]
DF0000434 avg_kimura=8.18 [ltr19-int]
DF0000435 avg_kimura=10.29 [ltr1a1]
DF0000436 avg_kimura=9.63 [ltr1a2]
DF0000437 avg_kimura=10.51 [ltr1b]
DF0000438 avg_kimura=10.03 [ltr1b0]
DF0000439 avg_kimura=11.68 [ltr1b1]
DF0000440 avg_kimura=9.02 [ltr1c]
DF0000441 avg_kimura=8.64 [ltr1c1]
DF0000442 avg_kimura=10.37 [ltr1c3]
DF0000443 avg_kimura=11.22 [ltr1d]
DF0000444 avg_kimura=10.80 [ltr1d1]
DF0000445 avg_kimura=13.55 [ltr1e]
DF0000446 avg_kimura=9.66 [ltr1f]
DF0000447 avg_kimura=9.84 [ltr1f1]
DF0000448 avg_kimura=12.63 [ltr1f2]
DF0000449 avg_kimura=7.04 [ltr2]
DF0000450 avg_kimura=12.39 [ltr21a]
DF0000451 avg_kimura=12.91 [ltr21b]
DF0000452 avg_kimura=12.38 [ltr21c]
DF0000453 avg_kimura=7.25 [ltr22]
DF0000454 avg_kimura=10.59 [ltr22a]
DF0000455 avg_kimura=11.28 [ltr22b]
DF0000456 avg_kimura=11.95 [ltr22b1]
DF0000457 avg_kimura=8.37 [ltr22b2]
DF0000458 avg_kimura=13.55 [ltr22c]
DF0000459 avg_kimura=9.74 [ltr22c0]
DF0000460 avg_kimura=12.92 [ltr22c2]
DF0000461 avg_kimura=9.87 [ltr22e]
DF0000462 avg_kimura=15.56 [ltr23]
DF0000463 avg_kimura=18.43 [ltr23-int]
DF0000464 avg_kimura=16.87 [ltr24]
DF0000465 avg_kimura=19.87 [ltr24b]
DF0000466 avg_kimura=16.39 [ltr24c]
DF0000467 avg_kimura=18.64 [ltr25]
DF0000468 avg_kimura=17.62 [ltr25-int]
DF0000469 avg_kimura=16.91 [ltr26]
DF0000470 avg_kimura=13.76 [ltr26b]
DF0000471 avg_kimura=15.67 [ltr26c]
DF0000472 avg_kimura=13.76 [ltr26d]
DF0000473 avg_kimura=16.66 [ltr26e]
DF0000474 avg_kimura=11.68 [ltr27]
DF0000475 avg_kimura=12.43 [ltr2752]
DF0000476 avg_kimura=11.65 [ltr27b]
DF0000477 avg_kimura=11.57 [ltr27c]
DF0000478 avg_kimura=13.44 [ltr27d]
DF0000479 avg_kimura=15.96 [ltr27e]
DF0000480 avg_kimura=10.13 [ltr28]
DF0000481 avg_kimura=12.62 [ltr28b]
DF0000482 avg_kimura=13.66 [ltr28c]
DF0000483 avg_kimura=18.38 [ltr29]
DF0000484 avg_kimura=7.84 [ltr2b]
DF0000485 avg_kimura=7.91 [ltr2c]
DF0000486 avg_kimura=6.70 [ltr30]
DF0000487 avg_kimura=17.02 [ltr31]
DF0000488 avg_kimura=16.26 [ltr32]
DF0000489 avg_kimura=32.77 [ltr33]
DF0000490 avg_kimura=32.78 [ltr33a]
DF0000491 avg_kimura=32.84 [ltr33a_v]
DF0000492 avg_kimura=32.85 [ltr33b]
DF0000493 avg_kimura=29.71 [ltr33c]
DF0000494 avg_kimura=18.11 [ltr34]
DF0000495 avg_kimura=14.59 [ltr35]
DF0000496 avg_kimura=13.20 [ltr35a]
DF0000497 avg_kimura=23.16 [ltr35b]
DF0000498 avg_kimura=17.34 [ltr36]
DF0000499 avg_kimura=24.30 [ltr37a]
DF0000500 avg_kimura=27.93 [ltr37b]
DF0000501 avg_kimura=27.26 [ltr37-int]
DF0000502 avg_kimura=22.90 [ltr38]
DF0000503 avg_kimura=18.92 [ltr38a1]
DF0000504 avg_kimura=18.49 [ltr38b]
DF0000505 avg_kimura=14.92 [ltr38c]
DF0000506 avg_kimura=22.66 [ltr38-int]
DF0000507 avg_kimura=15.99 [ltr39]
DF0000508 avg_kimura=20.37 [ltr39-int]
DF0000509 avg_kimura=8.33 [ltr3a]
DF0000510 avg_kimura=9.47 [ltr3b]
DF0000511 avg_kimura=8.99 [ltr3b_v]
DF0000512 avg_kimura=15.40 [ltr4]
DF0000513 avg_kimura=26.38 [ltr40a]
DF0000514 avg_kimura=29.18 [ltr40a1]
DF0000515 avg_kimura=24.77 [ltr40b]
DF0000516 avg_kimura=25.39 [ltr40c]
DF0000517 avg_kimura=25.13 [ltr41]
DF0000518 avg_kimura=26.77 [ltr41b]
DF0000519 avg_kimura=28.23 [ltr41c]
DF0000520 avg_kimura=17.39 [ltr42]
DF0000521 avg_kimura=13.26 [ltr43]
DF0000522 avg_kimura=19.23 [ltr43b]
DF0000523 avg_kimura=15.17 [ltr43-int]
DF0000524 avg_kimura=15.52 [ltr44]
DF0000525 avg_kimura=16.61 [ltr45]
DF0000526 avg_kimura=15.11 [ltr45b]
DF0000527 avg_kimura=15.93 [ltr45c]
DF0000528 avg_kimura=12.69 [ltr46]
DF0000529 avg_kimura=10.74 [ltr46-int]
DF0000530 avg_kimura=14.48 [ltr47a]
DF0000531 avg_kimura=14.20 [ltr47a2]
DF0000532 avg_kimura=14.81 [ltr47b]
DF0000533 avg_kimura=13.76 [ltr47b2]
DF0000534 avg_kimura=16.05 [ltr47b3]
DF0000535 avg_kimura=13.50 [ltr47b4]
DF0000536 avg_kimura=20.89 [ltr48]
DF0000537 avg_kimura=22.23 [ltr48b]
DF0000538 avg_kimura=18.87 [ltr49]
DF0000539 avg_kimura=18.99 [ltr49-int]
DF0000540 avg_kimura=7.16 [ltr5]
DF0000541 avg_kimura=28.70 [ltr50]
DF0000542 avg_kimura=14.57 [ltr51]
DF0000543 avg_kimura=25.71 [ltr52]
DF0000544 avg_kimura=24.99 [ltr52-int]
DF0000545 avg_kimura=21.24 [ltr53]
DF0000546 avg_kimura=20.86 [ltr53b]
DF0000547 avg_kimura=24.90 [ltr53-int]
DF0000548 avg_kimura=17.21 [ltr54]
DF0000549 avg_kimura=19.39 [ltr54b]
DF0000550 avg_kimura=22.29 [ltr55]
DF0000551 avg_kimura=18.94 [ltr56]
DF0000552 avg_kimura=14.62 [ltr57]
DF0000553 avg_kimura=15.27 [ltr57-int]
DF0000554 avg_kimura=16.10 [ltr58]
DF0000555 avg_kimura=15.15 [ltr59]
DF0000556 avg_kimura=4.54 [ltr5a]
DF0000557 avg_kimura=7.97 [ltr5b]
DF0000558 avg_kimura=3.49 [ltr5_hs]
DF0000559 avg_kimura=14.37 [ltr60]
